Nom du site où est dispensée la formation,Adresse du site de formation,Complément d’adresse du site de formation,Suite du complément d’adresse du site de formation,Ville du site de formation,Coordonnées géographiques du site de formation,Nom officiel (long) de l’établissement accrédité,Intitulé de la mention de master,Modalités d’enseignement de la mention,Intitulé du parcours,Modalités d’enseignement du parcours,Domaine(s) de la mention de master,Existence d’une capacité d’accueil limitée au 1er semestre,Capacité d’accueil limitée au 1er semestre,Année de la campagne de recueil des informations,Licences conseillées pour suivre la formation de la mention,URL de la fiche relative à la mention sur le site internet de l’établissement
Palaiseau,,,,Palaiseau,"0.0,-0.0",Université Paris-Saclay,Génie des procédés et des bio-procédés,Formation initiale|Formation continue,M1 Génie des procédés,Formation initiale,SCIENCES ET TECHNOLOGIES,Oui,25.0,2020.0,,
Toulouse Business School,,,,Toulouse,"43.604268,1.441019",Institut mines télécom,Génie industriel,Formation initiale,MILES - Management of International Lean and Supply chain projects,Formation initiale,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,30.0,2019.0,,
Faculté des Sciences et Ingénierie,118 route de Narbonne,,,Toulouse,"43.57266,1.452569",Université Toulouse-III,Génie mécanique,Formation initiale|Formation continue|Alternance|Apprentissage,Conception en Aéronautique,Formation initiale|Formation continue|Alternance|Apprentissage,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,72.0,2019.0,,
Université de Paris,85 boulevard Saint Michel,,,PARIS,,Université de Paris,Génétique,Formation initiale|Formation continue,Génétique,Formation initiale|Formation continue,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,49.0,2021.0,,
Université Savoie Mont Blanc - UFR Sciences et Montagne,Domaine universitaire de Chambéry/Le Bourget du Lac,35 avenue du lac d'Annecy,,LE BOURGET DU LAC,"45.641508,5.870735",Université de Chambéry,Géographie,Formation initiale,"Géographies, espaces Homme-environnement, ressources (GEOSPHERES)",Formation initiale,SCIENCES HUMAINES ET SOCIALES,Oui,45.0,2019.0,,
UFR Sciences. Espaces. Sociétés,5 allées Antonio Machado,,,TOULOUSE,"43.577692,1.404103",Université Toulouse-II,"Géographie, aménagement, environnement et développement",Formation initiale|Formation continue,DYNamiques des Environnements de Montagne (DYNEM),Formation initiale|Formation continue,SCIENCES HUMAINES ET SOCIALES,Oui,50.0,2020.0,,
Rennes,UFR sciences sociales,Place recteur Henri Le Moal,,Rennes,"48.123634,-1.700273",Université Rennes-II,Géomatique,Formation initiale|Formation continue,Système d'Information Géographique et Analyse des Territoires,Formation initiale|Formation continue,SCIENCES HUMAINES ET SOCIALES,Oui,22.0,2019.0,,
UFR de Lettres et Sciences Humaines,57bis rue Pierre Taittinger,,,Reims Cedex,"49.23749,4.003383",Université de Reims,Géopolitique,Formation initiale|Formation continue,,,SCIENCES HUMAINES ET SOCIALES,Oui,30.0,2019.0,Droit|Science politique|Histoire|Administration économique et sociale|Géographie et aménagement,http://www.univ-reims.fr/ma-geopolitique
Université de Lille,Faculté des Sciences et Technologies,Département Sciences de la Terre,Cité scientifique,Villeneuve d'Ascq cedex,"0.0,-0.0",Université de Lille,"Géoressources, géorisques, géotechnique",Formation initiale|Formation continue|Alternance,Géologie de l'ingénieur,Formation initiale|Formation continue|Alternance,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,16.0,2020.0,,
EVRY,,,,EVRY,"0.0,-0.0",Université Paris-Saclay,Histoire,Formation initiale|Formation continue|Apprentissage,M1 Histoire économique et sociale : Recherche et Valorisations,Formation initiale|Formation continue|Apprentissage,SCIENCES HUMAINES ET SOCIALES,Oui,115.0,2020.0,,
UFR Temps et territoires,18 quai Claude Bernard,,,Lyon,"45.750784,4.836274",Université Lyon-II,Histoire de l'art,Formation initiale|Formation continue,Arts et cultures visuels,Formation initiale|Formation continue,SCIENCES HUMAINES ET SOCIALES,Oui,50.0,2019.0,,
École Pratique des Hautes Études,4-14 rue Ferrus,,,Paris,"48.830842,2.34057",Université Paris Sciences et Lettres,Histoire de l'art et archéologie,Formation initiale|Formation continue,Histoire de l'art et archéologie,Formation initiale|Formation continue,"SCIENCES HUMAINES ET SOCIALES | ARTS, LETTRES, LANGUES",Oui,20.0,2020.0,,
Université Jean Moulin Lyon 3,Faculté de Philosophie,Site des quais,15. quai Claude Bernard,LYON,"45.752443,4.837579",Université Lyon-III,Histoire de la philosophie,Formation initiale,Histoire de la Philosophie,Formation initiale,SCIENCES HUMAINES ET SOCIALES,Oui,40.0,2020.0,,
UFR Droit et Science Politique,163  RUE AUGUSTE BROUSSONNET,,,MONTPELLIER,"43.615803,3.872114",Université de Montpellier,Histoire du droit et des institutions,Formation initiale|Formation continue,,,"DROIT, ECONOMIE, GESTION",Oui,20.0,2019.0,,
Université Paris-VII,5 rue Thomas Mann,,,PARIS,"48.830259,2.380926",Université Paris-VII,Histoire et philosophie des sciences,Formation initiale,Histoire et philosophie des sciences - Pro,Formation initiale,SCIENCES HUMAINES ET SOCIALES,Oui,50.0,2019.0,Philosophie|Histoire|Chimie|Mathématiques|Physique|Sciences sociales|Sciences de la Terre|Sciences de la vie,
UFR DES SCIENCES DU LANGAGE. DE L'HOMME ET DE LA SOCIETE,30-32 RUE MEGEVAND,,,BESANCON,"47.234298,6.025692",Université de Besançon,"Histoire, civilisations, patrimoine",Formation initiale|Formation continue|Formation à distance,"Sociétés, politique et cultures de l'Antiquité à nos jours",Formation initiale|Formation continue,SCIENCES HUMAINES ET SOCIALES,Oui,75.0,2019.0,,
ENS,45 Rue d'Ulm,,,Paris,"48.842293,2.344285",Communauté d'universités et établissements Université de Recherche Paris Sciences et Lettres - PSL Research University,Humanités,Formation initiale,Géopolitique : études européennes et internationales,Formation initiale,"SCIENCES HUMAINES ET SOCIALES | ARTS, LETTRES, LANGUES",Oui,70.0,2019.0,,
Université de technologie de Compiègne - UTC,Scolarité master,Rue Roger Couttolenc,CS60319,Compiègne,"49.414555,2.817393",Université de technologie de Compiègne,Humanités et industries créatives,Formation initiale|Formation continue,Design et création d'expérience (DCX),Formation initiale|Formation continue,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,24.0,2020.0,,
Pôle universitaire Léonard de Vinci,12. avenue Léonard de Vinci,,,Courbevoie,"48.896459,2.236333",Université Paris-X,Humanités et management,Formation initiale|Formation continue,Management des ressources humaines en environnement numérique,Formation initiale|Formation continue,"SCIENCES HUMAINES ET SOCIALES | ARTS, LETTRES, LANGUES",Oui,36.0,2019.0,,
Faculté des sciences médicales et paramédicales,27. bd Jean Moulin,,,Marseille cedex 5,"43.296482,5.369779",Université d'Aix-Marseille,Humanités médicales,Formation initiale|Formation continue,Addictologie : de la cellule au comportement humain,Formation initiale|Formation continue,SCIENCES DE LA SANTE,Oui,60.0,2021.0,"Histoire de l'art et archéologie|Histoire|Sciences de l'Homme, anthropologie, ethnologie|Sciences de la vie|Sciences de la vie et de la Terre",
Ecole Pratique des Hautes Etudes,Les Patios Saint-Jacques,4-14 Rue Ferrus,,Paris,"0.0,-0.0",Université Paris Sciences et Lettres,Humanités numériques,Formation initiale,,,"ARTS, LETTRES, LANGUES|SCIENCES, TECHNOLOGIES, SANTÉ",Oui,15.0,2020.0,Histoire de l'art et archéologie|Lettres|Philosophie|Histoire|Sciences du langage|Humanités|Mathématiques et informatique appliquées aux sciences humaines et sociales,https://www.psl.eu/formation/master-humanites-numeriques
Université Sorbonne Paris Nord,99 avenue Jean-Baptiste Clément,Campus de Villetaneuse,,VILLETANEUSE,"48.956595,2.338335",Université Paris-XIII,INGENIERIE ET INNOVATION EN IMAGES ET RESEAUX,Formation initiale,IMAGES,Formation initiale,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,30.0,2020.0,,
Faculté des sciences,163 avenue de Luminy,Case 901,,Marseille,"43.296482,5.369779",Université d'Aix-Marseille,Immunologie,Formation initiale|Formation continue,Immunologie,,SCIENCES ET TECHNOLOGIES,Oui,24.0,2020.0,Sciences de la vie,https://formations.univ-amu.fr/ME5SMG.html
Université Sorbonne Paris Nord,99 avenue Jean-Baptiste Clément,Campus de Villetaneuse,,VILLETANEUSE,"48.956595,2.338335",Université Paris-XIII,Industries culturelles,Formation initiale|Formation continue|Alternance,"Dynamiques culturelles : politiques, communication et médiation",Formation initiale|Formation continue,CULTURE ET COMMUNICATION,Oui,50.0,2020.0,,
Université de Bordeaux,35  PLACE PEY BERLAND,,,BORDEAUX,,Université de Bordeaux,Information et médiation scientifique et technique,Formation initiale,Médiation des sciences,Formation initiale,"SCIENCES, TECHNOLOGIES, SANTÉ",Non,,2021.0,,
UFR SHA,8. Rue René Descartes,Bât. E15,TSA 81118,POITIERS,"46.585708,0.342114",Université de Poitiers,"Information, communication",Formation initiale|Formation continue|Alternance,Web Editorial,Formation initiale|Formation continue|Alternance,SCIENCES HUMAINES ET SOCIALES,Oui,36.0,2019.0,,
UFR Histoire. Arts et Archéologie,5 allées Antonio Machado,,,Toulouse,"43.577692,1.404103",Université Toulouse-II,"Information, documentation",Formation initiale|Formation continue,Edition imprimée et numérique,Formation initiale|Formation continue,SCIENCES HUMAINES ET SOCIALES,Oui,45.0,2020.0,"Histoire de l'art et archéologie|Lettres|Histoire|Information-communication|Sciences de l'Homme, anthropologie, ethnologie|Mathématiques et informatique appliquées aux sciences humaines et sociales",https://www.univ-tlse2.fr/accueil/navigation/formation-insertion/decouvrir-nos-formations/mention-information-documentation-436614.kjsp?RH=02Diplomes
Université Toulouse-III,118 route de Narbonne,,,TOULOUSE CEDEX 9,,Université Toulouse-III,Informatique,Formation initiale|Formation continue|Alternance,Computer Science for Aerospace,Formation initiale|Formation continue,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,175.0,2021.0,,
CY Cergy Paris Université,33 boulevard DU PORT,,,CERGY PONTOISE CEDEX,,CY Cergy Paris Université,Informatique et Ingénierie des Systèmes Complexes,,"Signal, Information et Télécommunications",,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,45.0,2021.0,,
Université de Paris,85 boulevard Saint Michel,,,PARIS,,Université de Paris,Informatique fondamentale et appliquée,Formation initiale|Formation continue,Cryptographie - Sécurité,Formation initiale|Formation continue,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,160.0,2021.0,,
Institut national des sciences appliquées de Rennes,20  AVENUE DES BUTTES DE COESMES,CS 70839,,RENNES CEDEX 7,,Institut national des sciences appliquées de Rennes,Ingénierie de conception,Formation initiale,"Mécanique, Matériaux et Génie Civil",Formation initiale,"SCIENCES, TECHNOLOGIES, SANTÉ",Sans objet,,2021.0,,
Université de Brest,3 RUE DES ARCHIVES,,,BREST CEDEX 2,,Université de Brest,"Ingénierie de l'image, ingénierie du son",Formation initiale|Formation continue,Image et Son,Formation initiale|Formation continue,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,24.0,2021.0,,
"Etablissements partenaires (Arts et Métiers, PSL, Paris Descartes)",,,,Paris,"48.8589,2.3469",Ecole nationale supérieure d'arts et métiers,Ingénierie de la santé,Formation initiale|Formation continue,MCB (Molecular and Cellular Biotherapies),Formation initiale|Formation continue,"SCIENCES, TECHNOLOGIES, SANTÉ",Sans objet,,2020.0,,
Université Savoie Mont Blanc - Polytech Annecy-Chambéry,Domaine universitaire d'Annecy-le-Vieux,5. Chemin de Bellevue - Annecy-le-Vieux,BP 80439,ANNECY,"45.919195,6.157878",Université de Chambéry,Ingénierie des systèmes complexes,Formation initiale,Advanced mechatronics,Formation initiale,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,20.0,2020.0,,
Institut national des sciences et techniques nucléaires (INSTN-CEA),,,,Saclay,"48.730161,2.173356",Communauté d'universités et établissements Université Paris-Saclay,Ingénierie nucléaire,Formation initiale,M1 Chemistry and Chemical Engineering,Formation initiale,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,50.0,2019.0,,
Conservatoire national des arts et métiers,292 RUE SAINT MARTIN,,,PARIS CEDEX 03,,Conservatoire national des arts et métiers,"Innovation, entreprise et société",Formation continue,"Prospective, innovation et transformations des organisations",Formation continue|Apprentissage,"DROIT, ECONOMIE, GESTION",Non,,2021.0,,
Faculté des sciences,Avenue Escadrille normandie niemen,,,Marseille,"43.296482,5.369779",Université d'Aix-Marseille,"Instrumentation, mesure, métrologie",Formation initiale|Formation continue|Alternance|Apprentissage,Microcapteurs et systèmes de détection (MSD),,SCIENCES ET TECHNOLOGIES,Oui,60.0,2020.0,"Informatique|Mathématiques|Physique|Sciences pour l'ingénieur|Physique, chimie|Electronique, énergie électrique, automatique",https://formations.univ-amu.fr/ME5SMI.html
UFR Economie. AES. Gestion,Campus Pessac,16 avenue Léon Duguit,CS50057,PESSAC,"44.799011,-0.615142",Université de Bordeaux,Intelligence économique,Formation initiale,Intelligence économique,,"DROIT, ECONOMIE, GESTION ET SCIENCE POLITIQUE",Oui,45.0,2021.0,Science politique|Administration économique et sociale|Economie et gestion|Géographie et aménagement|Mathématiques et informatique appliquées aux sciences humaines et sociales,http://www.u-bordeaux.fr/formation/PRMA_55/intelligence-economique
UFR Lettres et sciences humaines,20 rue duquesne,,,Brest,"48.391834,-4.488598",Université de Brest,Intervention et développement social,Formation initiale|Formation continue|Alternance,"Direction et responsabilité de services et projets enfance, famille",Formation initiale|Formation continue,SCIENCES HUMAINES ET SOCIALES,Oui,40.0,2020.0,,
Université Montpellier-III,ROUTE DE MENDE,,,MONTPELLIER CEDEX 5,,Université Montpellier-III,Journalisme,Formation initiale|Formation continue|Formation à distance,Journalisme numérique et nouvelles écritures,Formation initiale|Formation continue|Formation à distance,SCIENCES HUMAINES ET SOCIALES,Oui,40.0,2021.0,,
Université Paris II,92 rue d'Assas,,,Paris,"48.843572,2.333494",Université Paris-II,Juriste européen,Formation initiale,Juriste européen,Formation initiale,"DROIT, ECONOMIE, GESTION",Non,,2020.0,,
Université Paris-XII,61 avenue du Général de Gaulle,,,CRETEIL CEDEX,,Université Paris-XII,"Justice, procès et procédures",Formation initiale|Formation continue,Droit des contentieux et de l'exécution,Formation initiale|Formation continue,"DROIT, ECONOMIE, GESTION",Oui,30.0,2021.0,,
Site des Chênes,33 bd du Port,,,CERGY,"0.0,-0.0",CY Cergy Paris Université,Langues et commerce international,,,,"ARTS, LETTRES, LANGUES",Oui,60.0,2021.0,"Gestion|Langues étrangères appliquées|Langues, littératures et civilisations étrangères et régionales",https://www.cyu.fr/master-langues-et-commerce-international-1
Université de Rouen,1  RUE THOMAS BECKET,,,MONT ST AIGNAN CEDEX,,Université de Rouen,Langues et sociétés,Formation initiale|Formation continue,Etudes Anglophones,Formation initiale|Formation continue,"ARTS, LETTRES, LANGUES",Oui,144.0,2021.0,,
Perpignan,UFR LETTRES ET SCIENCES HUMAINES,UNIVERSITE DE PERPIGNAN,52. Avenue PAUL ALDUY,PERPIGNAN,"42.682878,2.90181",Université de Perpignan,Langues étrangères appliquées,Formation initiale,Langues et affaires internationales,Formation initiale,"ARTS, LETTRES, LANGUES",Oui,20.0,2020.0,,
Université Sorbonne Nouvelle - Paris 3,"1-5, rue Censier",Département : Etudes Italiennes et Roumaines (EIR),"Centre Bièvre, 5ème étage",PARIS  cedex 05,"48.871987,2.335656",Université Paris-III,"Langues, littératures et civilisations étrangères et régionales",Formation initiale|Formation continue,"Italie : littérature, culture et traduction (ILCT)",Formation initiale|Formation continue|Alternance,"ARTS, LETTRES, LANGUES",Oui,445.0,2020.0,,
Université Sorbonne Nouvelle - Paris 3,"13, rue Santeuil",Département : Littérature et Linguistique Françaises et Latines (LLFL),"4ème étage, bureau n° 431 A",PARIS cedex 05,"47.630195,6.165856",Université Paris-III,Lettres,Formation initiale|Formation continue,"Ecriture, culture, médias (poursuite possible en M2 LATERP : Lettres Appliquées aux Techniques Editoriales et à la Rédaction professionnelle)",Formation initiale|Formation continue,"ARTS, LETTRES, LANGUES",Oui,467.0,2019.0,,
Université Clermont Auvergne,49 boulevard François Mitterrand,49 Bld François Mitterand,,CLERMONT FERRAND CEDEX 1,,Université Clermont Auvergne,Lettres et création littéraire,Formation initiale|Formation continue|Formation à distance,,,"ARTS, LETTRES, LANGUES",Oui,120.0,2021.0,,
Université Bordeaux-III,DOMAINE UNIVERSITAIRE,,,PESSAC CEDEX,,Université Bordeaux-III,Lettres et humanités,Formation initiale|Formation continue|Apprentissage,Edition,Formation initiale|Formation continue|Apprentissage,"ARTS, LETTRES, LANGUES",Oui,125.0,2021.0,,
EVRY,,,,EVRY,"0.0,-0.0",Université Paris-Saclay,Lettres et langues,Formation initiale|Formation continue|Apprentissage,"M2 Narration, Traduction et Nouveaux Médias",Formation continue|Apprentissage,"ARTS, LETTRES, LANGUES",Oui,80.0,2020.0,,
Université Paris-VII,5 rue Thomas Mann,,,PARIS,"48.830259,2.380926",Université Paris-VII,Littérature générale et comparée,Formation initiale,"Littératures du monde, études comparatistes",Formation initiale,"ARTS, LETTRES, LANGUES",Oui,30.0,2019.0,,
Pôle Guadeloupe,UFR Sciences Exactes et Naturelles,Campus de Fouillole,BP 592,POINTE-A-PITRE,"16.224895,-61.52847",UNIVERSITE DES ANTILLES,MIAGE - Méthodes Informatiques Appliquées à la Gestion des Entreprises,Formation initiale,MIAGE - Sciences des données et systèmes décisionnels (SD2),Formation initiale|Apprentissage,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,18.0,2020.0,,
UFR SHA,3 rue Théodore Lefebvre,Bât. A4,TSA 81118,POITIERS,"46.586347,0.342305",Université de Poitiers,MIGRATIONS INTERNATIONALES,Formation initiale|Formation continue,,,SCIENCES HUMAINES ET SOCIALES,Oui,40.0,2021.0,"Droit|Science politique|Histoire|Sociologie|Géographie et aménagement|Humanités|Sciences de l'Homme, anthropologie, ethnologie|Sciences sociales",
IMA - UF Sciences de l'ingénieur,24 Rue Marcel Issartier,,,MERIGNAC,"44.83847,-0.716786",Université de Bordeaux,Maintenance aéronautique,Formation initiale|Formation continue,Ingénierie des systèmes électroniques embarqués,Formation initiale|Formation continue,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,85.0,2020.0,,
Université de Lille,42 rue Paul Duez,,,LILLE,,Université de Lille,Management,Formation initiale|Formation continue|Apprentissage,Management des achats et de la supply chain,Formation initiale|Formation continue,"DROIT, ECONOMIE, GESTION",Oui,190.0,2021.0,,
Conservatoire national des arts et métiers,292 RUE SAINT MARTIN,,,PARIS CEDEX 03,,Conservatoire national des arts et métiers,Management de l'innovation,Formation continue,Management de l'innovation et de la conception innovante,Formation continue,"DROIT, ECONOMIE, GESTION",Non,,2021.0,,
Université Paul-Valéry Montpellier 3,Route de Mende,,,MONTPELLIER,"43.63373,3.873033",Université de Montpellier,Management des PME-PMI,Formation initiale|Formation continue,,,"DROIT, ECONOMIE, GESTION",Oui,32.0,2021.0,Gestion|Administration économique et sociale|Economie et gestion,https://formations.umontpellier.fr/fr/formations/droit-economie-gestion-DEG/master-XB/master-management-des-pme-pmi-program-master-management-des-pme-pmi.html
UPEC-UFR Sciences économiques et gestion-IAE,Mail des mèches,,,Créteil,"0.0,-0.0",Université Paris-XII,Management des organisations de santé,Formation continue|Formation à distance|Alternance|Apprentissage,Management des établissements de santé,Alternance|Apprentissage,"DROIT, ECONOMIE, GESTION",Oui,75.0,2020.0,,
La Rochelle Université,,,,La Rochelle,"46.140864,-1.153271",Université de La Rochelle,Management des systèmes d'information,Formation initiale|Formation continue|Alternance,Intelligence des systèmes d’information,Formation initiale|Formation continue|Alternance,"DROIT, ECONOMIE, GESTION",Oui,25.0,2020.0,,
I.A.E. - GRENOBLE,621  AVENUE CENTRALE,,,SAINT MARTIN D'HERES,"45.191778,5.767253",Université Grenoble Alpes,Management et administration des entreprises,Formation continue,Manager - double compétence,Formation initiale|Formation continue,"DROIT, ECONOMIE, GESTION ET SCIENCE POLITIQUE",Oui,25.0,2020.0,,
Institut Supérieur d'Economie et de Management,24 Avenue des Diables Bleus,,,NICE,"43.708336,7.288247",Universié Côte d'Azur,Management et commerce international,Formation initiale|Formation continue,Stratégie d'entreprise et développement international,Formation initiale|Formation continue|Apprentissage,"DROIT, ECONOMIE, GESTION",Oui,80.0,2020.0,,
Rennes,UFR sciences sociales,Place recteur Henri Le Moal,,Rennes,"48.123634,-1.700273",Université Rennes-II,Management public,Formation initiale|Formation continue,Management public territorial,Formation initiale|Formation continue,SCIENCES HUMAINES ET SOCIALES,Oui,30.0,2019.0,Droit|Science politique|Administration économique et sociale,https://formations.univ-rennes2.fr/fr/formations/master-37/master-mention-management-public-JFMJ9ZX1.html
Université de Caen  Normandie,ESPLANADE DE LA PAIX,,,CAEN CEDEX 5,,Université de Caen  Normandie,Management sectoriel,Formation initiale|Formation continue|Formation à distance,Management de l'économie solidaire,Formation initiale|Formation continue,"DROIT, ECONOMIE, GESTION",Oui,279.0,2021.0,,
Institut d'administration des entreprises,Chemin de la Quille,Le clos Guiot,,Puyricard,"43.586362,5.423431",Université d'Aix-Marseille,Management stratégique,Formation initiale|Formation continue|Alternance|Apprentissage,Management international,Formation initiale|Formation continue|Alternance|Apprentissage,"DROIT, ECONOMIE, GESTION",Oui,375.0,2021.0,Toutes licences,
ESC La Rochelle,102 rue de Coureilles,Les Minimes,,LA ROCHELLE,"46.14085,-1.156373",Université de Poitiers,"Marketing, vente",Formation initiale|Formation continue|Alternance|Apprentissage,Marketing du Luxe,Formation initiale|Formation continue|Alternance,"DROIT, ECONOMIE, GESTION",Oui,80.0,2019.0,,
Site des Chênes,33 bd du Port,,,CERGY-PONTOISE cedex,"0.0,-0.0",CY Cergy Paris Université,Master intégré franco-allemand en droit de l'entreprise,,,,"DROIT, ECONOMIE, GESTION",Oui,10.0,2021.0,Licence intégrée franco-allemande en droit,
ISFATES,Rue Augustin Fresnel,,,METZ,"49.096227,6.226616",Université de Lorraine,Master intégré franco-allemand en management,Formation initiale|Formation continue,Parcours général,Formation initiale|Formation continue,"DROIT, ECONOMIE, GESTION ET SCIENCE POLITIQUE",Oui,55.0,2020.0,,http://iaemetz.univ-lorraine.fr/content/master-integre-franco-allemand-en-management
UFR DES SCIENCES ET TECHNIQUES,16 ROUTE DE GRAY,,,BESANCON,"47.244401,5.989696",Université de Besançon,Mathématiques,Formation initiale|Formation continue|Formation à distance,Mathématiques générales,Formation initiale|Formation continue,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,122.0,2020.0,,
Université Clermont Auvergne,49 boulevard François Mitterrand,49 Bld François Mitterand,,CLERMONT FERRAND CEDEX 1,,Université Clermont Auvergne,"Mathématiques appliquées, statistique",Formation initiale|Formation continue|Alternance,,,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,30.0,2021.0,,
UFR Mathématiques et Informatique - Centre Pierre Mendes France,90 rue de Tolbiac,,,Paris,"48.826949,2.364806",Université Paris-I,Mathématiques et applications,Formation initiale,International Master in Mathematics Applied to Economics & Finance (IMMAEF),Formation initiale,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,70.0,2020.0,,
Université Paris 8,2 rue de la Liberté,,,Saint-Denis,"0.0,-0.0",Université Paris-VIII,Mathématiques et informatique appliquées aux sciences humaines et sociales - MIASHS,Formation initiale|Formation continue,Technologie et handicap,Formation initiale|Formation continue,"SCIENCES, TECHNOLOGIES, SANTÉ | SCIENCES HUMAINES ET SOCIALES",Oui,30.0,2020.0,,
COMUE Bourgogne Franche-Comté,32 avenue de l'Observatoire,,,BESANCON,,COMUE Bourgogne Franche-Comté,"Mathématiques, Physique",Formation initiale|Formation continue,Mathematical Physics (Math4Phys) (mathématique pour la physique),Formation initiale|Formation continue,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,20.0,2021.0,,
Université de Paris,85 boulevard Saint Michel,,,PARIS,,Université de Paris,"Mathématiques, données et apprentissage",Formation initiale,Ingénerie mathématiques et biostatistique,Formation initiale,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,45.0,2021.0,,
UFR Biologie,Campus Universitaire des Cézeaux,3 impasse Amélie Murat,TSA 60026 - CS 60026,AUBIERE,"45.759981,3.115127",Université Clermont Auvergne,Microbiologie,Formation initiale,"Génome, écologie et physiologie microbienne",Formation initiale,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,36.0,2019.0,,
